Rank_,PK,Name,Platform,Year_,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
367,367-FIFA Soccer 11-X360-2010,FIFA Soccer 11,X360,2010,Sports,Electronic Arts,0.71,2.4,0.02,0.4,3.53
368,368-Rugrats in Paris: The Movie-PS-2000,Rugrats in Paris: The Movie,PS,2000,Action,THQ,1.96,1.33,0,0.23,3.52
369,369-Spyro 2: Ripto's Rage!-PS-1999,Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment,2.14,1.21,0.01,0.17,3.52
370,370-Left 4 Dead-X360-2008,Left 4 Dead,X360,2008,Shooter,Electronic Arts,2.66,0.5,0.05,0.3,3.52
371,371-Mario & Sonic at the Olympic Winter Games-DS-2009,Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega,1.22,1.66,0.27,0.38,3.52
372,372-Resident Evil 5-X360-2009,Resident Evil 5,X360,2009,Action,Capcom,2.11,0.94,0.12,0.34,3.51
373,373-Donkey Kong Country 3: Dixie Kong's Double Trouble!-SNES-1996,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo,1.17,0.5,1.75,0.08,3.51
374,374-Assassin's Creed: Brotherhood-X360-2010,Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,2.84,0.39,0.03,0.24,3.5
375,375-Kung Fu-NES-1985,Kung Fu,NES,1985,Action,Nintendo,1.64,0.38,1.42,0.06,3.5
376,376-Batman: Arkham Asylum-X360-2009,Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,2.2,0.97,0.02,0.31,3.5
377,377-Clubhouse Games-DS-2006,Clubhouse Games,DS,2006,Misc,Nintendo,0.59,1.83,0.73,0.35,3.5
378,378-FIFA Soccer 2004-PS2-N/A,FIFA Soccer 2004,PS2,,Sports,Electronic Arts,0.59,2.36,0.04,0.51,3.49
379,379-Star Wars Battlefront (2015)-XOne-2015,Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts,1.94,1.22,0.02,0.31,3.49
380,380-Battlefield: Bad Company 2-X360-2010,Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,2.09,1.02,0.04,0.32,3.48
381,381-Guitar Hero: On Tour-DS-2008,Guitar Hero: On Tour,DS,2008,Misc,Activision,2.11,1.01,0.01,0.35,3.48
382,382-Assassin's Creed: Unity-XOne-2014,Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,2.26,0.89,0,0.3,3.46
383,383-Far Cry 3-PS3-2012,Far Cry 3,PS3,2012,Shooter,Ubisoft,0.88,1.75,0.1,0.72,3.45
384,384-Monster Hunter 4-3DS-2013,Monster Hunter 4,3DS,2013,Role-Playing,Capcom,0,0,3.44,0,3.44
385,385-Borderlands-X360-2009,Borderlands,X360,2009,Shooter,Take-Two Interactive,2.39,0.73,0.03,0.29,3.44
386,386-Tekken 4-PS2-2002,Tekken 4,PS2,2002,Fighting,Namco Bandai Games,1.55,1.27,0.33,0.29,3.44
387,387-Battlefield 4-PS4-2013,Battlefield 4,PS4,2013,Shooter,Electronic Arts,1.34,1.54,0.17,0.38,3.43
388,388-LittleBigPlanet 2-PS3-2011,LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,1.82,1.07,0.06,0.47,3.42
389,389-Grand Theft Auto 2-PS-1998,Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,1.13,2.07,0,0.22,3.42
390,390-Final Fantasy III-SNES-1994,Final Fantasy III,SNES,1994,Role-Playing,SquareSoft,0.86,0,2.55,0.02,3.42
391,391-Spider-Man 2-PS2-2004,Spider-Man 2,PS2,2004,Action,Activision,1.75,1.2,0.02,0.43,3.41
392,392-F-1 Race-GB-1990,F-1 Race,GB,1990,Racing,Nintendo,1.73,0.69,0.59,0.4,3.41
393,393-FIFA Soccer 2003-PS2-2002,FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts,0.46,2.28,0.05,0.61,3.4
394,394-Crash Bash-PS-2000,Crash Bash,PS,2000,Misc,Sony Computer Entertainment,1.56,1.47,0.19,0.17,3.39
395,395-LEGO Batman: The Videogame-X360-2008,LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment,2.03,1.03,0,0.32,3.38
396,396-Metal Gear Solid V: The Phantom Pain-PS4-2015,Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,1.08,1.35,0.48,0.47,3.38
397,397-The Legend of Zelda: Spirit Tracks-DS-2009,The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,1.43,0.94,0.74,0.27,3.38
398,398-WWF War Zone-PS-1998,WWF War Zone,PS,1998,Fighting,Acclaim Entertainment,2.47,0.76,0,0.13,3.36
399,399-The Legend of Zelda: Majora's Mask-N64-2000,The Legend of Zelda: Majora's Mask,N64,2000,Action,Nintendo,1.9,0.67,0.73,0.06,3.36
400,400-Professor Layton and the Unwound Future-DS-2008,Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo,0.65,1.61,0.82,0.28,3.36
401,401-Rugrats: Search For Reptar-PS-1998,Rugrats: Search For Reptar,PS,1998,Adventure,THQ,1.63,1.53,0,0.18,3.34
402,402-Assassin's Creed IV: Black Flag-X360-2013,Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,1.9,1.14,0.01,0.29,3.34
403,403-English Training: Have Fun Improving Your Skills!-DS-2006,English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo,0,0.99,2.32,0.02,3.33
404,404-James Bond 007: Nightfire-PS2-2002,James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts,1.45,1.29,0.12,0.46,3.33
405,405-Ratchet & Clank-PS2-2002,Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment,1.44,1.01,0.57,0.3,3.33
406,406-Mario Party 9-Wii-2012,Mario Party 9,Wii,2012,Misc,Nintendo,1.15,1.17,0.76,0.24,3.32
407,407-Star Wars Episode III: Revenge of the Sith-PS2-2005,Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts,1.47,1.39,0.03,0.43,3.32
408,408-Max Payne-PS2-2001,Max Payne,PS2,2001,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31
409,409-The Lord of the Rings: The Return of the King-PS2-2003,The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts,1.5,1.28,0.05,0.46,3.28
410,410-Assassin's Creed Syndicate-PS4-2015,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.8,1.92,0.06,0.5,3.28
411,411-Destiny-XOne-2014,Destiny,XOne,2014,Shooter,Activision,2.13,0.92,0,0.23,3.28
412,412-True Crime: Streets of LA-PS2-2003,True Crime: Streets of LA,PS2,2003,Action,Activision,1.89,1.05,0.02,0.31,3.27
413,413-Wii Music-Wii-2008,Wii Music,Wii,2008,Misc,Nintendo,1.36,1.13,0.46,0.32,3.27
414,414-Gran Turismo (PSP)-PSP-2009,Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment,0.5,1.59,0.31,0.87,3.27
415,415-Monster Hunter X-3DS-2015,Monster Hunter X,3DS,2015,Action,Capcom,0.25,0.19,2.78,0.04,3.26
416,416-Tekken-PS-1995,Tekken,PS,1995,Fighting,Sony Computer Entertainment,0.95,1.3,0.77,0.22,3.24
417,417-FIFA 16-XOne-2015,FIFA 16,XOne,2015,Sports,Electronic Arts,0.88,2.11,0,0.23,3.23
418,418-L.A. Noire-PS3-2011,L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,1.27,1.33,0.12,0.51,3.23
419,419-Madden NFL 16-PS4-2015,Madden NFL 16,PS4,2015,Sports,Electronic Arts,2.33,0.3,0,0.59,3.22
420,420-Yokai Watch 2 Ganso/Honke-3DS-2014,Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,Nintendo,0.03,0,3.18,0,3.22
421,421-007: Tomorrow Never Dies-PS-1999,007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts,1.72,1.33,0,0.16,3.21
422,422-Baseball-NES-1983,Baseball,NES,1983,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2
423,423-Killer Instinct-SNES-1995,Killer Instinct,SNES,1995,Fighting,Nintendo,2.26,0.72,0.12,0.1,3.2
424,424-WWF SmackDown! 2: Know Your Role-PS-2000,WWF SmackDown! 2: Know Your Role,PS,2000,Fighting,THQ,1.76,1.21,0.07,0.16,3.2
425,425-Crisis Core: Final Fantasy VII-PSP-2007,Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,1.35,0.6,0.8,0.44,3.19
426,426-God of War: Chains of Olympus-PSP-2008,God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,1.48,1.01,0.04,0.66,3.19
427,427-Dragon Quest VI: Maboroshi no Daichi-SNES-1995,Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,Enix Corporation,0,0,3.19,0,3.19
428,428-Dance Central-X360-2010,Dance Central,X360,2010,Misc,MTV Games,2.15,0.77,0.01,0.26,3.19
429,429-Enter the Matrix-PS2-2003,Enter the Matrix,PS2,2003,Action,Atari,1.78,1.12,0.09,0.19,3.18
430,430-Super Mario Maker-WiiU-2015,Super Mario Maker,WiiU,2015,Platform,Nintendo,1.18,0.87,0.93,0.2,3.18
431,431-Fallout: New Vegas-PS3-2010,Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,1.52,1.08,0.1,0.47,3.17
432,432-LEGO Batman: The Videogame-Wii-N/A,LEGO Batman: The Videogame,Wii,,Action,Warner Bros. Interactive Entertainment,1.86,1.02,0,0.29,3.17
433,433-Rhythm Heaven-DS-2008,Rhythm Heaven,DS,2008,Misc,Nintendo,0.58,0.51,1.93,0.14,3.17
434,434-Ace Combat 04: Shattered Skies-PS2-2001,Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17
435,435-Club Penguin: Elite Penguin Force-DS-2008,Club Penguin: Elite Penguin Force,DS,2008,Adventure,Disney Interactive Studios,1.88,0.98,0,0.3,3.16
436,436-Animal Crossing-GC-2001,Animal Crossing,GC,2001,Simulation,Nintendo,1.92,0.16,0.99,0.09,3.15
437,437-LEGO Batman: The Videogame-DS-2008,LEGO Batman: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,1.79,1.06,0,0.29,3.15
438,438-Sonic Rush-DS-2005,Sonic Rush,DS,2005,Platform,Sega,1.22,1.57,0.06,0.29,3.15
439,439-Resident Evil 6-PS3-2012,Resident Evil 6,PS3,2012,Shooter,Capcom,0.88,0.97,0.88,0.42,3.15
440,440-Halo: The Master Chief Collection-XOne-2014,Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,1.89,0.99,0.03,0.24,3.15
441,441-FIFA Soccer 08-PS2-2007,FIFA Soccer 08,PS2,2007,Sports,Electronic Arts,0.68,0,0,2.46,3.14
442,442-Spider-Man-PS-2000,Spider-Man,PS,2000,Action,Activision,1.7,1.25,0.02,0.16,3.13
443,443-Need for Speed III: Hot Pursuit-PS-1998,Need for Speed III: Hot Pursuit,PS,1998,Racing,Electronic Arts,2.14,0.86,0,0.13,3.12
444,444-Star Wars Episode I Racer-N64-1999,Star Wars Episode I Racer,N64,1999,Racing,Nintendo,2.31,0.62,0.14,0.04,3.12
445,445-Personal Trainer: Cooking-DS-2006,Personal Trainer: Cooking,DS,2006,Misc,Nintendo,0.91,1,1.03,0.17,3.12
446,446-The Elder Scrolls IV: Oblivion-PS3-2007,The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,1.69,0.87,0.14,0.42,3.12
447,447-Dragon Warrior IV-NES-1990,Dragon Warrior IV,NES,1990,Role-Playing,Enix Corporation,0.08,0,3.03,0.01,3.12
448,448-Heavy Rain-PS3-2010,Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,1.29,1.27,0.06,0.5,3.12
449,449-Mass Effect 2-X360-2010,Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,1.99,0.82,0.03,0.27,3.11
450,450-FIFA 15-X360-2014,FIFA 15,X360,2014,Sports,Electronic Arts,0.78,2.02,0,0.3,3.11
451,451-Dragon Ball Z: Budokai-PS2-2002,Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari,2.17,0.28,0.55,0.08,3.09
452,452-Madden NFL 2002-PS2-2001,Madden NFL 2002,PS2,2001,Sports,Electronic Arts,2.5,0.16,0.01,0.42,3.08
453,453-World Class Track Meet-NES-1986,World Class Track Meet,NES,1986,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07,3.08
454,454-Borderlands 2-X360-2012,Borderlands 2,X360,2012,Shooter,Take-Two Interactive,1.89,0.91,0.04,0.24,3.07
455,455-The Legend of Zelda: A Link Between Worlds-3DS-2013,The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,1.4,0.99,0.46,0.22,3.07
456,456-Donkey Kong-GB-1994,Donkey Kong,GB,1994,Platform,Nintendo,1.57,0.62,0.55,0.34,3.07
457,457-The Sims: Vacation-PC-2002,The Sims: Vacation,PC,2002,Simulation,Electronic Arts,1.72,1.21,0,0.14,3.07
458,458-Mass Effect 3-X360-2012,Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,1.94,0.86,0.03,0.24,3.07
459,459-Kung Fu Panda-X360-2008,Kung Fu Panda,X360,2008,Action,Activision,1.91,0.84,0,0.29,3.05
460,460-Far Cry 3-X360-2012,Far Cry 3,X360,2012,Shooter,Ubisoft,1.38,1.35,0.02,0.28,3.04
461,461-Epic Mickey-Wii-2010,Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,2.06,0.64,0.12,0.22,3.04
462,462-Saints Row 2-X360-2008,Saints Row 2,X360,2008,Action,THQ,1.94,0.8,0.02,0.27,3.03
463,463-Rayman-PS-1995,Rayman,PS,1995,Platform,Ubisoft,1.54,1.33,0,0.16,3.03
464,464-Killzone 2-PS3-2009,Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment,1.4,1.07,0.08,0.47,3.02
465,465-Tom Clancy's Splinter Cell-XB-2002,Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft,1.85,1.04,0,0.13,3.02
466,466-Mike Tyson's Punch-Out!!-NES-1987,Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,2.03,0.47,0.45,0.07,3.02
467,467-WWE SmackDown! Shut Your Mouth-PS2-2002,WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,THQ,1.45,1.13,0.07,0.38,3.02
468,468-Gears of War: Ultimate Edition-XOne-2015,Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,2.38,0.32,0,0.31,3
469,469-NBA 2K13-X360-2012,NBA 2K13,X360,2012,Sports,Take-Two Interactive,2.6,0.21,0.01,0.19,3
470,470-Dragon Ball Z: Budokai Tenkaichi 3-PS2-2007,Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari,1.15,0,0.76,1.09,3
471,471-wwe Smackdown vs. Raw 2006-PS2-N/A,wwe Smackdown vs. Raw 2006,PS2,,Fighting,N/A,1.57,1.02,0,0.41,3
472,472-Middle-Earth: Shadow of Mordor-PS4-2014,Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,1.01,1.41,0.05,0.53,2.99
473,473-Star Fox-SNES-1993,Star Fox,SNES,1993,Shooter,Nintendo,1.61,0.51,0.8,0.07,2.99
474,474-The Sims: Livin Large-PC-2000,The Sims: Livin Large,PC,2000,Misc,Electronic Arts,1.67,1.18,0,0.13,2.99
475,475-World Soccer Winning Eleven 6 International-PS2-2002,World Soccer Winning Eleven 6 International,PS2,2002,Sports,Konami Digital Entertainment,0.12,1.26,1.16,0.45,2.99
476,476-Devil May Cry-PS2-2001,Devil May Cry,PS2,2001,Action,Capcom,1.36,0.86,0.64,0.13,2.99
477,477-Animal Crossing: Happy Home Designer-3DS-2015,Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,0.47,1,1.39,0.12,2.98
478,478-Battlefield: Bad Company 2-PS3-2010,Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,1.33,1.12,0.08,0.45,2.97
479,479-The Sims 4-PC-2014,The Sims 4,PC,2014,Simulation,Electronic Arts,0.96,1.72,0,0.29,2.97
480,480-Star Wars: The Old Republic-PC-2011,Star Wars: The Old Republic,PC,2011,Role-Playing,Electronic Arts,1.58,1.01,0,0.38,2.97
481,481-Sonic Heroes-PS2-2003,Sonic Heroes,PS2,2003,Platform,Sega,1.04,1.37,0.06,0.49,2.96
482,482-Kirby Super Star Ultra-DS-2008,Kirby Super Star Ultra,DS,2008,Platform,Nintendo,1.57,0.04,1.19,0.15,2.96
483,483-Hitman 2: Silent Assassin-PS2-2002,Hitman 2: Silent Assassin,PS2,2002,Action,Eidos Interactive,1.36,1.15,0.04,0.41,2.96
484,484-Street Fighter IV-X360-2009,Street Fighter IV,X360,2009,Fighting,Capcom,1.82,0.71,0.15,0.26,2.95
485,485-Wave Race 64-N64-1996,Wave Race 64,N64,1996,Racing,Nintendo,1.98,0.58,0.34,0.04,2.94
486,486-SOCOM II: U.S. Navy SEALs-PS2-2003,SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,Sony Computer Entertainment,2.22,0.51,0.06,0.15,2.94
487,487-WWE SmackDown! vs. RAW 2006-PS2-2005,WWE SmackDown! vs. RAW 2006,PS2,2005,Fighting,THQ,1.45,1.11,0.04,0.33,2.94
488,488-inFAMOUS-PS3-2009,inFAMOUS,PS3,2009,Action,Sony Computer Entertainment,1.76,0.69,0.12,0.37,2.94
489,489-Pac-Man Collection-GBA-2001,Pac-Man Collection,GBA,2001,Puzzle,Atari,2.07,0.77,0.05,0.05,2.94
490,490-Mass Effect-X360-2007,Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,1.83,0.8,0.03,0.27,2.93
491,491-WarioWare: Smooth Moves-Wii-2006,WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,0.87,1.06,0.73,0.26,2.92
492,492-Cooking Mama: Cook Off-Wii-2007,Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,1.43,1.13,0.05,0.3,2.91
493,493-Super Mario World 2: Yoshi's Island-GBA-2002,Super Mario World 2: Yoshi's Island,GBA,2002,Platform,Nintendo,1.75,0.45,0.62,0.09,2.91
494,494-FIFA 14-PS4-2013,FIFA 14,PS4,2013,Sports,Electronic Arts,0.61,1.85,0.11,0.33,2.9
495,495-Titanfall-XOne-2014,Titanfall,XOne,2014,Shooter,Electronic Arts,1.84,0.8,0.04,0.22,2.9
496,496-Sonic Mega Collection Plus-PS2-2004,Sonic Mega Collection Plus,PS2,2004,Misc,Sega,1.54,1.14,0,0.22,2.9
497,497-Sega Superstars Tennis-X360-2008,Sega Superstars Tennis,X360,2008,Sports,Sega,1.75,0.86,0,0.28,2.9
498,498-World Soccer Winning Eleven 7 International-PS2-2003,World Soccer Winning Eleven 7 International,PS2,2003,Sports,Konami Digital Entertainment,0.08,1.24,1.13,0.45,2.9
499,499-Need for Speed: Most Wanted-PS3-2012,Need for Speed: Most Wanted,PS3,2012,Racing,Electronic Arts,0.71,1.51,0.06,0.61,2.89
500,500-Hot Shots Golf 3-PS2-2001,Hot Shots Golf 3,PS2,2001,Sports,Sony Computer Entertainment,0.99,0.32,1.38,0.2,2.89
501,501-Call of Duty: Finest Hour-PS2-2004,Call of Duty: Finest Hour,PS2,2004,Shooter,Activision,1.51,1.12,0.01,0.24,2.89
502,502-Zumba Fitness 2-Wii-2011,Zumba Fitness 2,Wii,2011,Sports,Majesco Entertainment,1.54,1.07,0,0.28,2.88
503,503-Syphon Filter-PS-1999,Syphon Filter,PS,1999,Shooter,Sony Computer Entertainment,2.03,0.72,0.02,0.11,2.88
504,504-Imagine: Babyz-DS-2007,Imagine: Babyz,DS,2007,Simulation,Ubisoft,1.3,1.27,0,0.31,2.88
505,505-Colin McRae Rally-PS-1998,Colin McRae Rally,PS,1998,Racing,Codemasters,0.09,2.43,0.12,0.22,2.87
506,506-Call of Duty: Ghosts-XOne-2013,Call of Duty: Ghosts,XOne,2013,Shooter,Activision,1.87,0.77,0,0.22,2.86
507,507-Madden NFL 13-X360-2012,Madden NFL 13,X360,2012,Sports,Electronic Arts,2.53,0.16,0,0.17,2.86
508,508-The Elder Scrolls III: Morrowind-XB-2002,The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,Ubisoft,2.09,0.63,0.03,0.11,2.86
509,509-Mortal Kombat-PS3-2011,Mortal Kombat,PS3,2011,Fighting,Warner Bros. Interactive Entertainment,1.98,0.55,0,0.32,2.85
510,510-F-Zero-SNES-1990,F-Zero,SNES,1990,Racing,Nintendo,1.37,0.51,0.89,0.07,2.85
511,511-Yoshi's Story-N64-1997,Yoshi's Story,N64,1997,Platform,Nintendo,1.29,0.53,0.98,0.05,2.85
512,512-Command & Conquer: Red Alert-PC-1996,Command & Conquer: Red Alert,PC,1996,Strategy,Virgin Interactive,1.37,1.34,0,0.14,2.85
513,513-Skylanders: Spyro's Adventure-Wii-2011,Skylanders: Spyro's Adventure,Wii,2011,Action,Activision,1.4,1.14,0,0.31,2.85
514,514-FIFA 16-PS3-2015,FIFA 16,PS3,2015,Sports,Electronic Arts,0.4,1.98,0.05,0.42,2.85
515,515-Assassin's Creed: Brotherhood-PS3-2010,Assassin's Creed: Brotherhood,PS3,2010,Action,Ubisoft,1.87,0.57,0.11,0.3,2.84
516,516-BioShock-X360-2007,BioShock,X360,2007,Shooter,Take-Two Interactive,1.65,0.86,0.05,0.28,2.83
517,517-Madden NFL 10-X360-2009,Madden NFL 10,X360,2009,Sports,Electronic Arts,2.52,0.09,0,0.22,2.83
518,518-Medal of Honor-PS3-2010,Medal of Honor,PS3,2010,Shooter,Electronic Arts,1.28,1.05,0.07,0.43,2.83
519,519-WWE SmackDown! vs. Raw-PS2-2002,WWE SmackDown! vs. Raw,PS2,2002,Fighting,THQ,1.32,1.08,0.04,0.39,2.83
520,520-Metroid Prime-GC-2002,Metroid Prime,GC,2002,Shooter,Nintendo,1.96,0.67,0.1,0.09,2.82
521,521-Finding Nemo-GBA-2003,Finding Nemo,GBA,2003,Action,THQ,1.59,1.05,0.04,0.14,2.82
522,522-Myst-PC-1994,Myst,PC,1994,Adventure,Red Orb,0.02,2.79,0,0,2.81
523,523-Need for Speed: Hot Pursuit-PS3-2010,Need for Speed: Hot Pursuit,PS3,2010,Racing,Electronic Arts,1.05,1.25,0.03,0.48,2.81
524,524-Imagine: Fashion Designer-DS-2007,Imagine: Fashion Designer,DS,2007,Simulation,Ubisoft,1.32,1.19,0,0.3,2.81
525,525-WWE SmackDown! Here Comes the Pain-PS2-2003,WWE SmackDown! Here Comes the Pain,PS2,2003,Fighting,THQ,1.32,1.06,0.04,0.38,2.8
526,526-Star Wars: The Force Unleashed-X360-2008,Star Wars: The Force Unleashed,X360,2008,Action,LucasArts,1.74,0.8,0,0.26,2.8
527,527-Yoshi's Island DS-DS-2006,Yoshi's Island DS,DS,2006,Platform,Nintendo,1.47,0.07,1.1,0.15,2.8
528,528-Hot Shots Golf-PS-1997,Hot Shots Golf,PS,1997,Sports,Sony Computer Entertainment,0.29,0.2,2.13,0.18,2.79
529,529-Killzone 3-PS3-2011,Killzone 3,PS3,2011,Shooter,Sony Computer Entertainment,1.45,0.88,0.09,0.38,2.79
530,530-A Bug's Life-PS-1998,A Bug's Life,PS,1998,Platform,Sony Computer Entertainment,1.96,0.72,0,0.11,2.79
531,531-WWF SmackDown! Just Bring It-PS2-2001,WWF SmackDown! Just Bring It,PS2,2001,Fighting,THQ,1.19,1.15,0.04,0.41,2.79
532,532-Dragon Quest V: Tenkuu no Hanayome-SNES-1992,Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing,Enix Corporation,0,0,2.78,0.01,2.79
533,533-Mortal Kombat Trilogy-PS-1996,Mortal Kombat Trilogy,PS,1996,Fighting,GT Interactive,1.98,0.7,0,0.11,2.79
534,534-Battlefield 3-PC-2011,Battlefield 3,PC,2011,Shooter,Electronic Arts,0.89,1.43,0,0.48,2.79
535,535-NBA Street-PS2-2001,NBA Street,PS2,2001,Sports,Electronic Arts,2.19,0.22,0,0.38,2.79
536,536-Professor Layton and the Last Specter-DS-2009,Professor Layton and the Last Specter,DS,2009,Puzzle,Nintendo,0.3,1.47,0.68,0.34,2.79
537,537-Monster Hunter Tri-3DS-2011,Monster Hunter Tri,3DS,2011,Role-Playing,Nintendo,0.46,0.29,1.96,0.07,2.79
538,538-Jak II-PS2-2003,Jak II,PS2,2003,Platform,Sony Computer Entertainment,1.68,0.74,0,0.36,2.78
539,539-inFAMOUS: Second Son-PS4-2014,inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,1.27,0.97,0.07,0.47,2.78
540,540-Ratchet & Clank: Going Commando-PS2-2003,Ratchet & Clank: Going Commando,PS2,2003,Platform,Sony Computer Entertainment,1.44,0.83,0.26,0.25,2.78
541,541-Tekken 6-PS3-2009,Tekken 6,PS3,2009,Fighting,Namco Bandai Games,1.2,0.98,0.17,0.43,2.78
542,542-The Sims-PS2-2003,The Sims,PS2,2003,Simulation,Electronic Arts,1.41,1.12,0,0.24,2.77
543,543-Sonic and the Secret Rings-Wii-2007,Sonic and the Secret Rings,Wii,2007,Platform,Sega,1.24,1.2,0.04,0.3,2.77
544,544-Saints Row: The Third-X360-2011,Saints Row: The Third,X360,2011,Action,THQ,1.25,1.15,0.07,0.3,2.77
545,545-Missile Command-2600-1980,Missile Command,2600,1980,Shooter,Atari,2.56,0.17,0,0.03,2.76
546,546-Mario Paint-SNES-1992,Mario Paint,SNES,1992,Misc,Nintendo,1.43,0.54,0.71,0.07,2.75
547,547-Assassin's Creed IV: Black Flag-PS4-2013,Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,1.07,1.31,0.06,0.31,2.74
548,548-Pok̩mon Stadium 2-N64-2000,Pok̩mon Stadium 2,N64,2000,Strategy,Nintendo,1.02,0.36,1.13,0.23,2.73
549,549-Metroid-NES-1986,Metroid,NES,1986,Action,Nintendo,1.33,0.31,1.04,0.05,2.73
550,550-L.A. Noire-X360-2011,L.A. Noire,X360,2011,Adventure,Take-Two Interactive,1.52,0.94,0.02,0.24,2.72
551,551-Call of Duty 3-X360-2006,Call of Duty 3,X360,2006,Shooter,Activision,1.49,0.93,0.02,0.27,2.71
552,552-The Legend of Zelda: A Link to the Past-GBA-2002,The Legend of Zelda: A Link to the Past,GBA,2002,Action,Nintendo,1.75,0.52,0.33,0.1,2.7
553,553-Onimusha: Warlords-PS2-2001,Onimusha: Warlords,PS2,2001,Action,Virgin Interactive,0.99,0.48,1.09,0.14,2.7
554,554-Mortal Kombat X-PS4-2015,Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment,1.47,0.76,0,0.47,2.7
555,555-Mario Party-N64-1998,Mario Party,N64,1998,Misc,Nintendo,1.25,0.53,0.87,0.05,2.7
556,556-Madden NFL 12-X360-2011,Madden NFL 12,X360,2011,Sports,Electronic Arts,2.42,0.11,0,0.16,2.69
557,557-LEGO Star Wars II: The Original Trilogy-PS2-2006,LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,LucasArts,1.85,0.64,0.01,0.19,2.69
558,558-Madden NFL 11-X360-2010,Madden NFL 11,X360,2010,Sports,Electronic Arts,2.38,0.12,0,0.18,2.69
559,559-Mario vs. Donkey Kong: Mini-Land Mayhem!-DS-2010,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,Nintendo,1.63,0.52,0.35,0.18,2.69
